[CPU 1] ens1f1np1 flows:     20, RX:  603881(pps) (err:     0),  0.44(Gbps), TX:  603992(pps),  6.29(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  604022(pps) (err:     0),  0.44(Gbps), TX:  604133(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  603578(pps) (err:     0),  0.44(Gbps), TX:  603729(pps),  6.28(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2383506(pps) (err:     0),  1.72(Gbps), TX: 2383969(pps), 24.79(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  573099(pps) (err:     0),  0.41(Gbps), TX:  573198(pps),  5.94(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604708(pps) (err:     0),  0.44(Gbps), TX:  604803(pps),  6.29(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  604222(pps) (err:     0),  0.44(Gbps), TX:  604351(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  604377(pps) (err:     0),  0.44(Gbps), TX:  604472(pps),  6.29(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2386406(pps) (err:     0),  1.72(Gbps), TX: 2386824(pps), 24.80(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572400(pps) (err:     0),  0.41(Gbps), TX:  572507(pps),  5.93(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604548(pps) (err:     0),  0.44(Gbps), TX:  604656(pps),  6.29(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  604245(pps) (err:     0),  0.44(Gbps), TX:  604368(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  604087(pps) (err:     0),  0.44(Gbps), TX:  604191(pps),  6.29(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2385280(pps) (err:     0),  1.72(Gbps), TX: 2385722(pps), 24.81(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572692(pps) (err:     0),  0.41(Gbps), TX:  572814(pps),  5.94(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604206(pps) (err:     0),  0.44(Gbps), TX:  604314(pps),  6.29(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  603924(pps) (err:     0),  0.44(Gbps), TX:  604030(pps),  6.30(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  603624(pps) (err:     0),  0.44(Gbps), TX:  603722(pps),  6.29(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2384446(pps) (err:     0),  1.72(Gbps), TX: 2384880(pps), 24.81(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  573717(pps) (err:     0),  0.41(Gbps), TX:  573830(pps),  5.95(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604545(pps) (err:     0),  0.44(Gbps), TX:  604680(pps),  6.30(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  604077(pps) (err:     0),  0.44(Gbps), TX:  604197(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  603944(pps) (err:     0),  0.44(Gbps), TX:  604087(pps),  6.29(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2386283(pps) (err:     0),  1.72(Gbps), TX: 2386794(pps), 24.83(Gbps)
